----------------------------------------ARGUMENTS----------------------------------------
data_path                                ../../datasets/Amazon/MoviesAndTv/reviews.pickle
index_dir                                ../../datasets/Amazon/MoviesAndTv/1
emsize                                   512
nhead                                    2
nhid                                     2048
nlayers                                  2
dropout                                  0.2
lr                                       1.0
clip                                     1.0
epochs                                   100
batch_size                               128
seed                                     1111
cuda                                     True
log_interval                             200
checkpoint                               ./models/AmazonMovies/
outf                                     generatedmovies.txt
vocab_size                               20000
endure_times                             5
rating_reg                               0.1
context_reg                              1.0
text_reg                                 1.0
peter_mask                               True
use_feature                              True
words                                    15
----------------------------------------ARGUMENTS----------------------------------------
[2022-05-05 11:19:09.422690]: Loading data
HALO
MLP(
  (linear1): Linear(in_features=512, out_features=512, bias=True)
  (linear2): Linear(in_features=512, out_features=1, bias=True)
  (sigmoid): Sigmoid()
)
[2022-05-05 11:19:21.036007]: epoch 1
[2022-05-05 11:19:42.373426]: context ppl 2357.1176 | text ppl 1653.0324 | rating loss 10.2867 |   200/ 2762 batches
[2022-05-05 11:20:01.966274]: context ppl 918.9927 | text ppl 450.7867 | rating loss 2.3466 |   400/ 2762 batches
[2022-05-05 11:20:21.361932]: context ppl 817.0084 | text ppl 311.4438 | rating loss 1.7444 |   600/ 2762 batches
[2022-05-05 11:20:41.070532]: context ppl 759.6366 | text ppl 247.2154 | rating loss 1.7047 |   800/ 2762 batches
[2022-05-05 11:21:00.670819]: context ppl 714.8939 | text ppl 202.9797 | rating loss 1.8463 |  1000/ 2762 batches
[2022-05-05 11:21:20.144488]: context ppl 684.2878 | text ppl 176.0514 | rating loss 2.0063 |  1200/ 2762 batches
[2022-05-05 11:21:39.567621]: context ppl 674.0564 | text ppl 161.6587 | rating loss 2.3111 |  1400/ 2762 batches
[2022-05-05 11:22:00.329303]: context ppl 663.7455 | text ppl 151.8250 | rating loss 2.1755 |  1600/ 2762 batches
[2022-05-05 11:22:20.119888]: context ppl 668.4825 | text ppl 147.4748 | rating loss 2.0754 |  1800/ 2762 batches
[2022-05-05 11:22:39.686869]: context ppl 655.0138 | text ppl 136.0156 | rating loss 2.1430 |  2000/ 2762 batches
[2022-05-05 11:22:59.529898]: context ppl 656.3808 | text ppl 132.4642 | rating loss 1.8316 |  2200/ 2762 batches
[2022-05-05 11:23:19.177271]: context ppl 632.8348 | text ppl 120.8936 | rating loss 1.9903 |  2400/ 2762 batches
[2022-05-05 11:23:39.008259]: context ppl 591.7875 | text ppl 107.3675 | rating loss 1.8132 |  2600/ 2762 batches
[2022-05-05 11:23:55.024064]: context ppl 564.9312 | text ppl 100.1863 | rating loss 1.7547 |  2762/ 2762 batches
[2022-05-05 11:24:07.490687]: context ppl 623.2790 | text ppl 103.0525 | rating loss 1.5803 | valid loss 6.2155 on validation
[2022-05-05 11:24:07.909612]: epoch 2
[2022-05-05 11:24:27.983916]: context ppl 631.1305 | text ppl 109.8488 | rating loss 1.5036 |   200/ 2762 batches
[2022-05-05 11:24:48.058654]: context ppl 627.3092 | text ppl 106.7389 | rating loss 1.5693 |   400/ 2762 batches
[2022-05-05 11:25:08.279014]: context ppl 625.1166 | text ppl 104.3785 | rating loss 1.5593 |   600/ 2762 batches
[2022-05-05 11:25:28.401480]: context ppl 618.7418 | text ppl 100.8460 | rating loss 1.5116 |   800/ 2762 batches
[2022-05-05 11:25:48.481529]: context ppl 622.6421 | text ppl 100.4936 | rating loss 1.4526 |  1000/ 2762 batches
[2022-05-05 11:26:08.535592]: context ppl 615.8806 | text ppl 97.6826 | rating loss 1.4493 |  1200/ 2762 batches
[2022-05-05 11:26:28.914844]: context ppl 612.6317 | text ppl 95.7461 | rating loss 1.4302 |  1400/ 2762 batches
[2022-05-05 11:26:48.954222]: context ppl 612.1601 | text ppl 94.0688 | rating loss 1.4409 |  1600/ 2762 batches
[2022-05-05 11:27:09.829321]: context ppl 604.8167 | text ppl 91.2091 | rating loss 1.4562 |  1800/ 2762 batches
[2022-05-05 11:27:30.049465]: context ppl 597.1651 | text ppl 89.7991 | rating loss 1.4705 |  2000/ 2762 batches
[2022-05-05 11:27:50.916577]: context ppl 602.0015 | text ppl 88.6491 | rating loss 1.4721 |  2200/ 2762 batches
[2022-05-05 11:28:12.993332]: context ppl 598.9346 | text ppl 87.3684 | rating loss 1.4966 |  2400/ 2762 batches
[2022-05-05 11:28:34.242174]: context ppl 598.5390 | text ppl 85.7575 | rating loss 1.4647 |  2600/ 2762 batches
[2022-05-05 11:28:49.856342]: context ppl 597.4391 | text ppl 85.5211 | rating loss 1.5138 |  2762/ 2762 batches
[2022-05-05 11:29:02.105493]: context ppl 593.9733 | text ppl 76.6003 | rating loss 1.3941 | valid loss 5.7327 on validation
[2022-05-05 11:29:02.396876]: epoch 3
[2022-05-05 11:29:21.802126]: context ppl 590.1463 | text ppl 80.1118 | rating loss 1.4904 |   200/ 2762 batches
[2022-05-05 11:29:41.366126]: context ppl 592.7252 | text ppl 80.1239 | rating loss 1.4519 |   400/ 2762 batches
[2022-05-05 11:30:00.923479]: context ppl 587.1879 | text ppl 79.1486 | rating loss 1.4639 |   600/ 2762 batches
[2022-05-05 11:30:20.403250]: context ppl 584.9453 | text ppl 77.6211 | rating loss 1.4484 |   800/ 2762 batches
[2022-05-05 11:30:42.798820]: context ppl 582.6112 | text ppl 77.3629 | rating loss 1.4592 |  1000/ 2762 batches
[2022-05-05 11:31:02.562797]: context ppl 582.8856 | text ppl 76.8810 | rating loss 1.5252 |  1200/ 2762 batches
[2022-05-05 11:31:22.176471]: context ppl 584.4722 | text ppl 77.1009 | rating loss 1.4863 |  1400/ 2762 batches
[2022-05-05 11:31:42.407272]: context ppl 580.0385 | text ppl 76.0388 | rating loss 1.4825 |  1600/ 2762 batches
[2022-05-05 11:32:03.690192]: context ppl 581.1448 | text ppl 75.5489 | rating loss 1.4654 |  1800/ 2762 batches
[2022-05-05 11:32:28.802050]: context ppl 582.6612 | text ppl 75.1578 | rating loss 1.5058 |  2000/ 2762 batches
[2022-05-05 11:32:50.705539]: context ppl 577.8738 | text ppl 74.0221 | rating loss 1.5008 |  2200/ 2762 batches
[2022-05-05 11:33:09.998078]: context ppl 571.4388 | text ppl 72.9808 | rating loss 1.4824 |  2400/ 2762 batches
[2022-05-05 11:33:29.592885]: context ppl 575.4285 | text ppl 72.7586 | rating loss 1.4929 |  2600/ 2762 batches
[2022-05-05 11:33:45.284524]: context ppl 570.7898 | text ppl 72.9523 | rating loss 1.5131 |  2762/ 2762 batches
[2022-05-05 11:33:57.757198]: context ppl 572.1242 | text ppl 66.4229 | rating loss 1.3630 | valid loss 5.5590 on validation
[2022-05-05 11:33:58.048973]: epoch 4
[2022-05-05 11:34:17.544184]: context ppl 569.6562 | text ppl 68.0102 | rating loss 1.4924 |   200/ 2762 batches
[2022-05-05 11:34:36.999888]: context ppl 565.4599 | text ppl 67.9333 | rating loss 1.4997 |   400/ 2762 batches
[2022-05-05 11:34:56.240019]: context ppl 562.2185 | text ppl 67.1507 | rating loss 1.4481 |   600/ 2762 batches
[2022-05-05 11:35:15.731171]: context ppl 565.4894 | text ppl 67.9904 | rating loss 1.4863 |   800/ 2762 batches
[2022-05-05 11:35:35.054068]: context ppl 562.8570 | text ppl 66.9492 | rating loss 1.4726 |  1000/ 2762 batches
[2022-05-05 11:35:54.435833]: context ppl 564.0414 | text ppl 67.0846 | rating loss 1.4698 |  1200/ 2762 batches
[2022-05-05 11:36:13.671429]: context ppl 564.9213 | text ppl 67.8995 | rating loss 1.4763 |  1400/ 2762 batches
[2022-05-05 11:36:33.138968]: context ppl 557.9589 | text ppl 66.6665 | rating loss 1.4779 |  1600/ 2762 batches
[2022-05-05 11:36:56.121441]: context ppl 565.3356 | text ppl 66.5435 | rating loss 1.5025 |  1800/ 2762 batches
[2022-05-05 11:37:15.983214]: context ppl 559.6995 | text ppl 66.1133 | rating loss 1.4465 |  2000/ 2762 batches
[2022-05-05 11:37:35.817215]: context ppl 559.5038 | text ppl 66.1266 | rating loss 1.4701 |  2200/ 2762 batches
[2022-05-05 11:37:55.418792]: context ppl 557.1094 | text ppl 65.4489 | rating loss 1.3683 |  2400/ 2762 batches
[2022-05-05 11:38:14.881970]: context ppl 561.3470 | text ppl 66.0765 | rating loss 1.3694 |  2600/ 2762 batches
[2022-05-05 11:38:30.720243]: context ppl 560.7229 | text ppl 65.4781 | rating loss 1.3395 |  2762/ 2762 batches
[2022-05-05 11:38:43.283804]: context ppl 552.0293 | text ppl 59.9754 | rating loss 1.1993 | valid loss 5.2933 on validation
[2022-05-05 11:38:43.608835]: epoch 5
[2022-05-05 11:39:03.957339]: context ppl 550.6500 | text ppl 61.0920 | rating loss 1.2918 |   200/ 2762 batches
[2022-05-05 11:39:23.801701]: context ppl 549.4359 | text ppl 61.3557 | rating loss 1.2620 |   400/ 2762 batches
[2022-05-05 11:39:44.586231]: context ppl 550.5228 | text ppl 61.7885 | rating loss 1.2289 |   600/ 2762 batches
[2022-05-05 11:40:03.974243]: context ppl 548.7931 | text ppl 61.3395 | rating loss 1.2061 |   800/ 2762 batches
[2022-05-05 11:40:23.327207]: context ppl 543.1708 | text ppl 60.8240 | rating loss 1.2330 |  1000/ 2762 batches
[2022-05-05 11:40:42.692862]: context ppl 545.3032 | text ppl 60.4048 | rating loss 1.2045 |  1200/ 2762 batches
[2022-05-05 11:41:02.066303]: context ppl 544.4984 | text ppl 60.9514 | rating loss 1.2260 |  1400/ 2762 batches
[2022-05-05 11:41:21.456340]: context ppl 545.6253 | text ppl 60.9097 | rating loss 1.2013 |  1600/ 2762 batches
